Day명,단어,뜻1,뜻2,문장1,문장1해석,문장2,문장2해석
Day 07,sound,소리,음성    동 (…하게) 들리다,I heard the sound of the sea.,나는 바닷소리를 들었다.,That sounds funny.,그것은 우습게 들린다.
Day 07,hungry,배고픈,,I'm very hungry now.,나는 지금 매우 배고프다.,,
Day 07,run,"(ran-run) 1. 달리다, 뛰다",경영[운영]하다,I often run in the park.,교과서 나는 공원에서 자주 뛴다.,She runs a small store.,그녀는 작은 가게를 운영한다.
Day 07,round,둥근,,I have a round face.,나는 얼굴이 둥글다.,the second round (2,"회전, 2라운드)"
Day 07,loud,큰 소리의,시끄러운,The music was too loud.,그 음악 소리는 너무 시끄러웠다.,0170 loudly,"부 큰 소리로, 시끄럽게"
Day 07,push,밀다,,Can you push the door?,문을 밀어줄 수 있나요?,,
Day 07,bright,"빛나는, 밝은 dark 0098",영리한,It was bright and sunny.,교과서 날이 밝고 화창했다.,He is a bright student.,그는 영리한 학생이다.
Day 07,air,"공기, 대기",공중,The air is very cold at night.,밤에는 공기가 매우 차갑다.,in the air,공중에
Day 07,again and again,몇 번이고,되풀이해서,I checked my bag again and again.,교과서 나는 내 가방을 몇 번이고 확인했다.,,
Day 07,be happy with,…에 기뻐하다,…에 만족하다,He is happy with his new school.,그는 새 학교에 만족한다.,IDIOMS & PHRASES,영단어 우리말 뜻 영단어 우리말 뜻 잘 외워지지 않는 영단어를 아래 빈칸에 다시 써 봅시다.
Day 08,mask,(보호용) 마스크,가면,I always wear a mask because of my allergies.,나는 알러지 때문에 항상 마스크를 쓴다.,Kids like to wear masks on Halloween.,아이들은 핼러윈에 가면을 쓰는 것을 좋아한다.
Day 08,hard,어려운 easy 0102,"단단한, 딱딱한 부 열심히",Making new friends is hard for me.,새 친구를 사귀는 것은 나에게 어렵다.,My chair is too hard.,내 의자는 너무 딱딱하다.
Day 08,difficult,어려운,,The question was very difficult.,그 질문은 매우 어려웠다.,,
Day 08,full,가득 찬 empty 0167,배가 부른,The bus is full of people.,그 버스는 사람들로 가득 차 있다.,I can't eat. I'm very full.,나는 먹을 수 없다. 나는 매우 배가 부르다.
Day 08,animal,물,짐승,There are many animals in the zoo.,그 동물원에는 많은 동물들이 있다.,,
Day 08,beautiful,아름다운,,That flower is beautiful.,저 꽃은 아름답다.,beautifully,부 아름답게
Day 08,weekend,주말,,She went to the theater last weekend.,그녀는 지난 주말 극장에 갔다.,on weekends,"주말에, 주말마다"
Day 08,warm,따뜻한,,The blanket is warm.,이 담요는 따뜻하다.,a warm and tasty bowl of curry,교과서 따뜻하고 맛있는 카레 한 그릇
Day 08,pull,끌다,잡아당기다,My brother pulled my hair.,오빠가 내 머리카락을 잡아당겼다.,DAY 08,
Day 08,north,북쪽    형 북쪽의,,The north is very cold.,북쪽은 매우 춥다.,the north side,"북쪽, 북부"
Day 08,noise,(시끄러운) 소리,소음,The noise of the drum is too loud.,그 북 소리는 너무 크다.,make noise,떠들다[소란을 피우다]
Day 08,healthy,건강한 sick 0111,건강에 좋은,Yoga keeps me healthy.,요가는 나를 계속 건강하게 한다.,I made healthy juice with fresh carrots.,교과서 나는 신선한 당근으로 건강에 좋은 주스를 만들었다.
Day 08,there,거기에(서),그곳으로,He went there with his son.,그는 자신의 아들과 그곳에 갔다.,0191 here,"부 여기에(서), 이곳으로"
Day 08,fast,(움직임이) 빠른 slow 0172     부 빨리,,That car is really fast.,저 차는 정말 빠르다.,She can run fast.,그녀는 빨리 달릴 수 있다.
Day 08,voice,목소리,음성,He speaks in a small voice.,그는 작은 목소리로 말한다.,"At that time, a voice came out of the speaker.","교과서 그때, 스피커에서 음성이 나왔다."
Day 08,thick,굵은,두꺼운,She wore thick socks.,그녀는 두꺼운 양말을 신었다.,1. (,머리카락이) 숱이 많은: thick black hair (숱 많은 검정 머리)
Day 08,mountain,산,((-s)) 산맥,I saw a bear on the mountain.,나는 그 산에서 곰을 보았다.,the Rocky Mountains,로키 산맥(북미 서부의 대산맥)
Day 08,down,아래로,낮은 쪽으로,The boy came down from the tree.,그 소년은 나무에서 내려왔다.,DAY 08,
Day 08,after school,방과 후에,,We will play baseball after school.,우리는 방과 후에 야구를 할 것이다.,,
Day 08,say hello to,…에게 안부를 전하다,…에게 인사하다,Please say hello to your sister!,너의 언니한테 안부 전해줘!,IDIOMS & PHRASES,영단어 우리말 뜻 영단어 우리말 뜻 잘 외워지지 않는 영단어를 아래 빈칸에 다시 써 봅시다.
Day 09,bar,"막대기, (창문 등의) 살",(막대기 모양의) 바,The man is holding an iron bar.,그 남자는 쇠막대기를 들고 있다.,a bar of soap,비누 한 개
Day 09,size,"크기, 규모","(옷 · 신발 등의) 치수, 사이즈",Do you know the size of ltaly?,너는 이탈리아의 크기를 아니?,What size do you wear?,너는 어떤 사이즈를 입니?
Day 09,way,길,"방법, 방식","On her way home, Sue saw Jamie.",교과서,a way of life,생활 방식
Day 09,earth,지구,"땅, 지면",The Earth is round.,지구는 둥글다.,The earth began to shake.,땅이 흔들리기 시작했다.
Day 09,pretty,"예쁜 beautiful 0146     부 1. 꽤, 상당히",매우,My sister is pretty.,내 여동생은 예쁘다.,It gets pretty cold at night.,밤에는 상당히 추워진다.
Day 09,noisy,시끄러운,,The party was fun but noisy.,그 파티는 재미있었지만 시끄러웠다.,0151 noise,"명 (시끄러운) 소리, 소음"
Day 09,empty,비어 있는,빈,Her bag was empty.,교과서 그녀의 가방은 비어 있었다.,,
Day 09,after,(시간 · 순서상) 뒤[후]에    접 …한 뒤[후]에 before 0214 ( 전 / 접 ),,"After lunch, we usually take a nap.",교과서 우리는 점심 식사 후에 보통 낮잠을 잔다.,I watched TV after I studied.,
Day 09,painter,화가,,"To paint a person, a painter needs a model.","교과서 인물을 그리기 위해, 화가는 모델이 필요하다.",0218 paint,동 (물감으로) 그리다
Day 09,loudly,큰 소리로,시끄럽게,We can't talk loudly in the theater.,우리는 극장에서 큰 소리로 말할 수 없다.,0135 loud,"형 큰 소리의, 시끄러운"
Day 09,easily,쉽게,수월하게,Food can easily go sour in summer.,여름에는 음식이 쉽게 상할 수 있다.,0102 easy,형 쉬운
Day 09,slow,느린,더딘,My computer is too slow.,내 컴퓨터는 너무 느리다.,0204 slowly,"부 느리게, 천천히"
Day 09,today,오늘    명 오늘,,I have a lot of time today.,나는 오늘 시간이 많다.,Today is her 100th birthday.,교과서 오늘은 그녀의 100번째 생일이다.
Day 09,bicycle,자전거,,The boy is riding his bicycle.,그 소년은 자전거를 타고 있다.,,
Day 09,pocket,주머니,,He put the pen in his pocket.,그는 그 펜을 주머니에 넣었다.,,
Day 09,person,(복수형 people 0125  ) 사람,인간,She is a kind person.,그녀는 친절한 사람이다.,,
Day 09,cry,울다,외치다,The baby started to cry.,그 아기는 울기 시작했다.,"He cried, ""Help!""","그는 ""도와줘!""라고 외쳤다."
Day 09,deep,깊은    부 깊이,깊게,This lake is deep.,이 호수는 깊다.,The man lived deep in the mountains.,그 남자는 산속 깊숙이 살았다.
Day 09,next to,… 옆에,,His cat was next to the telephone.,교과서 그의 고양이는 전화기 옆에 있었다.,,
Day 09,fill in,…을 채우다[써넣다],…을 메우다,Fill in the blanks please.,빈칸을 채워주세요.,You should fill in the hole.,너는 구멍을 메워야 한다.
Day 10,jog,깅하다    명 조깅,,She jogs every morning in the park.,그녀는 매일 아침 공원에서 조깅한다.,I like to go for a jog after dinner.,나는 저녁 식사 후에 조깅하는 것을 좋아한다.
Day 10,fight,(fought-fought) 싸우다    명 싸움,,Don't fight with your friends.,친구들과 싸우지 마라.,They had a fight at school.,그들은 학교에서 싸움을 했다.
Day 10,drive,(drove-driven) 운전하다,,Can you drive a car?,너는 차를 운전할 수 있니?,0202 driver,"명 운전자, 기사"
Day 10,ride,(rode-ridden) (말 · 탈것 등을) 타다    명 (말 · 탈것 등에) 타기,,Almost everyone can ride a horse in Mongolia.,교과서 몽골에서는 거의 모든 사람이 말을 탈 수 있다.,Mom gives us a ride to school.,엄마는 우리를 학교까지 태워다 주신다.
Day 10,yesterday,어제    명 어제,,I went to the park with my mom yesterday.,나는 어제 엄마와 공원에 갔다.,Yesterday was Friday.,어제는 금요일이었다.
Day 10,low,(높이가) 낮은 high 0208,"(양 · 정도가) 낮은, 적은",This chair is too low for me.,이 의자는 나에게 너무 낮다.,This milk is low in fat.,이 우유는 지방 함량이 적다.
Day 10,hit,(hit-hit) 때리다,치다,She hit the ball with her hand.,그녀는 손으로 그 공을 쳤다.,an album of their greatest hits,(그들의 최고 인기 곡들을 모은 앨범)
Day 10,talk,말하다,이야기하다,Can I talk to you for a minute?,당신과 잠깐 이야기할 수 있을까요?,They greet each other and start to talk.,교과서 그들은 서로 인사하고 이야기하기 시작한다.
Day 10,parent,((-s)) 부모,어버이,They live with their parents.,그들은 부모님과 함께 산다.,,
Day 10,often,흔히,자주,We often eat rice and soup for lunch.,교과서 우리는 점심으로 밥과 국을 자주 먹는다.,,
Day 10,here,여기에(서),이곳으로,I'll be back here next week.,나는 다음 주에 이곳으로 돌아올 것이다.,0153 there,"부 거기에(서), 그곳으로"
Day 10,beauty,"아름다움, 미(美)",미인,Aphrodite is the goddess of love and beauty.,아프로디테는 사랑과 미의 여신이다.,She was a great beauty.,그녀는 굉장한 미인이었다.
Day 10,price,값,가격,What's the price of this skirt?,이 치마의 가격은 얼마입니까?,a low price,낮은 가격
Day 10,by,[위치] … 옆에,"[수단] …에 의해, …으로",She was sitting by me.,그녀는 내 옆에 앉아 있었다.,You can go there by bus.,너는 버스로 그곳에 갈 수 있다.
Day 10,soft,드러운,,They lay down on the soft bed.,교과서 그들은 부드러운 침대에 누웠다.,,
Day 10,south,남쪽    형 남쪽의,,Many birds fly south in the fall.,많은 새들이 가을에 남쪽으로 날아간다.,the south gate,남문
Day 10,draw,(drew-drawn) 1. (연필 등으로) 그리다,(마차 등을) 끌다,My son drew animals on the wall.,내 아들이 벽에 동물들을 그렸다.,Two horses drew the cart.,두 마리의 말이 그 수레를 끌었다.
